sat.id,ISL0,ISL1,ISL2,ISL3,count_ISL0,count_ISL1,count_ISL2,count_ISL3
0,0.0,0.11380262249827473,0.09371980676328501,0.0,6615,14552,13035,0
1,0.0,0.0005521048999309869,0.0,0.0,6470,7499,3666,0
2,0.0016563146997929604,6.901311249137337e-05,0.0,0.0,8603,7925,3263,0
3,0.0,0.009316770186335404,0.0,0.0,6366,8374,419,0
4,0.0,6.901311249137337e-05,0.0,0.0,2810,4290,374,0
5,0.0,0.0,0.0,0.0,3196,3474,845,0
6,0.0,0.0,0.0,0.0,3314,2792,462,0
7,0.0,0.0,0.0,0.0,5806,3284,4644,0
8,0.0,0.0,0.00013802622498274673,0.0,8523,3356,9217,0
9,0.0,0.0,0.0,0.0,8946,8290,989,0
10,0.005866114561766736,6.901311249137337e-05,0.0,0.0,9281,6289,2162,0
11,0.012698412698412695,0.00020703933747412008,0.0,0.0,12648,9640,522,0
12,0.1476190476190476,0.0013802622498274675,0.0,0.0,13183,9281,269,0
13,76.42650103519635,0.0030365769496204283,0.043892339544513444,0.0,15110,6792,6849,0
14,89.66059351276724,0.002070393374741201,81.09806763284986,0.0,19214,10581,16682,0
15,6.901311249137337e-05,0.0050379572118702575,79.37273982056551,0.0,7035,14974,21216,0
16,0.0,0.0008281573498964803,21.315942028985486,0.044858523119392694,8055,11268,19894,15481
17,0.0,0.008350586611456176,0.020496894409937887,0.0,4347,6950,9974,5958
18,0.0,0.0,0.0,0.0,6086,5110,6388,3856
19,0.0,0.0,0.0,0.0,4531,5685,748,706
20,0.0,0.0,0.0,0.0,2354,3056,903,770
21,0.0,0.0,0.0,0.0,2319,2474,1647,1095
22,0.0,0.0,0.0,0.0,2665,2267,1349,855
23,0.0,0.0,0.00027605244996549346,0.0,6452,2692,8677,7151
24,0.0,0.0,17.145755693581783,0.0,7786,2842,17024,6762
25,6.901311249137337e-05,0.0,0.0,0.0,8368,7979,2265,1409
26,0.012215320910973083,0.0,0.004968944099378883,0.0,9067,5404,6135,3723
27,0.22484472049689447,0.001104209799861974,0.0,0.0,13090,9032,1004,792
28,36.75665976535535,0.003105590062111802,0.0,0.0,16090,9768,1971,1415
29,57.07708764665268,0.016080055210489986,53.46777087646634,0.0006211180124223603,15518,11943,16924,10470
30,57.51739130434763,0.004623878536922016,84.38081435472701,0.01256038647342995,16302,11750,16680,14158
31,0.0,6.901311249137337e-05,89.91649413388527,0.0,5538,10611,21308,9787
32,0.007039337474120083,0.0,78.57743271221494,25.83554175293305,14591,9415,21642,20752
33,0.01752933057280883,76.0659765355414,40.6494824016563,0.001311249137336094,14367,19834,16090,7570
34,0.022429261559696337,80.41276742581054,14.29958592132506,0.0,4874,17253,10507,4483
35,0.012905452035886819,0.007660455486542444,0.0,0.0,10439,9934,1296,997
36,0.0011732229123533472,0.02042788129744652,0.0,0.0,9214,9463,1354,1307
37,6.901311249137337e-05,0.003933747412008282,0.0,0.0,7049,8667,3814,1839
38,0.0,0.00020703933747412008,0.0,0.0,5938,6588,3054,1639
39,0.0,0.0,0.02125603864734299,0.00427881297446515,4173,5513,12662,13292
40,0.0,0.0,31.2919254658385,0.0,4506,4591,18371,9848
41,0.0,0.0,0.0,0.0,5079,4228,3078,2413
42,6.901311249137337e-05,0.0,0.015113871635610766,0.0008281573498964803,7518,4513,10029,8253
43,0.05307108350586613,0.0,0.0,0.0,10558,7198,3600,2495
44,8.019530710835062,0.008488612836438925,0.00034506556245686687,0.0,11106,6448,5313,4520
45,7.873913043478262,0.008488612836438923,61.52498274672163,0.027743271221532105,14379,11063,19055,14396
46,23.012008281573486,0.002415458937198068,79.06673567977877,5.675707384403037,15138,9442,18404,17716
47,0.009316770186335402,0.0,84.99496204278772,0.0008971704623878538,13197,9684,21007,12828
48,0.038854382332643204,0.0,78.55935127674219,51.1917184265009,16988,9932,21737,21653
49,27.624499654934443,84.20441683919906,63.81221532091077,0.044720496894409954,19077,20910,16956,12512
50,1.843133195307108,92.2860593512767,74.42988267770842,0.02801932367149756,9823,21335,13136,10316
51,0.6016563146997927,48.58440303657677,0.0,0.0,11703,16562,984,694
52,0.1570738440303658,1.2722567287784683,0.0,0.0,14480,14627,1602,1629
53,0.0,2.0249137336093854,0.00027605244996549346,0.0,10371,14837,7423,4420
54,0.0,0.001311249137336094,0.0,0.0,8780,9960,4507,3499
55,0.0,0.0,3.606418219461697,0.09751552795031063,5887,8217,15870,15564
56,0.0,6.901311249137337e-05,26.142512077294676,0.0011732229123533472,6621,6633,18176,12372
57,0.0,0.0,0.0,0.0,7540,5840,3819,2993
58,0.1283643892339545,0.0,0.010766045548654244,0.0017943409247757076,12239,6756,10993,9367
59,0.2590752242926157,0.0011732229123533474,0.0,0.0,13238,11454,3451,4485
60,77.13285024154555,0.012491373360938576,3.4683229813664584,0.0,13217,3434,7050,5408
61,75.04244306418184,0.007936507936507938,71.69192546583815,0.09082125603864746,15525,12909,18625,14565
62,16.67536231884059,0.010489993098688751,70.43146997929574,23.890131124913736,16568,13609,19485,19186
63,0.06259489302967572,0.00013802622498274673,74.7216011042094,1.1282953761214634,16038,10783,21374,17580
64,0.02008281573498964,0.020289855072463756,11.369841269841276,59.93174603174584,16095,15296,19692,21683
65,0.38550724637681133,85.45307108350548,6.272532781228428,49.4183574879227,17195,20995,13961,16678
66,0.07108350586611462,89.2895790200136,33.49503105590059,46.18881987577643,11189,20914,13816,15771
67,1.0311249137336091,47.57060041407859,0.0,0.0,14359,17756,1389,2000
68,0.08702553485162184,44.03692201518275,0.0,0.0,12415,17194,2844,1655
69,0.033471359558316066,3.072463768115942,0.010697032436162872,0.000966183574879227,10763,13762,8285,7577
70,0.036783988957902,0.003864734299516909,0.0,0.0,12358,11073,3673,3919
71,0.0,0.0012422360248447205,18.51614906832299,17.077846790890284,8874,10920,17752,17941
72,0.0,6.901311249137337e-05,0.3011042097998623,0.02325741890959282,10113,9195,16128,14869
73,0.0006901311249137337,0.0,0.0,0.0,11262,7854,3830,3656
74,3.490062111801241,0.0,0.011456176673567978,0.001863354037267081,16393,8853,10799,9994
75,64.9425810904069,0.02035886818495513,0.0,0.0,15410,8073,4499,3200
76,80.66238785369183,0.04568668046928918,0.039268461007591425,0.5320220841959971,15583,11672,9858,11173
77,91.43712905452027,0.015804002760524495,74.2224982746718,58.21801242236013,20672,11905,15241,16185
78,72.8674948240162,22.98737060041406,17.93726708074534,65.10324361628683,16892,19368,16872,19723
79,0.043754313319530724,0.05148378191856454,0.37943409247757054,70.71649413388512,15236,16413,18471,21536
80,0.005866114561766737,3.122843340234645,0.00013802622498274673,77.82946859903343,13933,18923,11925,21642
81,0.43919944789509935,55.894409937888,0.04603174603174606,66.59358178053803,16178,17687,12830,19235
82,13.780400276052445,39.783091787439595,0.013526570048309167,34.80248447204973,18683,17147,12589,18141
83,0.0072463768115942065,33.89999999999999,0.0,0.0,17009,19406,1585,1375
84,0.6194616977225673,73.96901311249106,0.0,0.0,11733,18335,1932,2243
85,35.31690821256036,15.6736369910283,0.0,0.035610766045548664,11934,11494,3632,5860
86,1.468046928916493,0.026846100759144235,0.0,0.0,15926,13701,2790,3869
87,0.015873015873015876,0.007936507936507938,0.021394064872325737,30.5040027605245,12698,13405,13998,18891
88,0.029813664596273295,0.013319530710835059,0.002622498274672188,22.386749482401655,14187,12402,11808,17957
89,1.0167701863354035,0.001311249137336094,0.0,0.0,16119,11627,3297,3741
90,36.731677018633555,0.01573498964803312,6.901311249137337e-05,0.018840579710144925,18111,9165,5744,7304
91,75.78474810213906,0.008764665286404419,0.0,0.0,16992,9162,3231,4055
92,84.04899930986848,0.0034506556245686684,0.0,0.09592822636300904,15059,10510,5968,6298
93,92.29454796411312,0.1278122843340237,1.1884057971014492,81.9953071083502,21245,15109,12875,19810
94,79.70890269151101,65.98046928916472,0.024706694271911675,78.23098688750825,15826,21090,10458,20048
95,0.011456176673567978,17.431124913733623,0.0033816425120772953,86.06804692891613,12856,19949,13610,21711
96,0.0,0.002277432712215321,0.0,66.96266390614183,5098,12794,3445,21581
97,0.0,0.0,0.003864734299516908,33.49565217391309,9507,8159,14554,20385
98,0.02760524499654933,0.0008281573498964803,0.00027605244996549346,7.561628709454794,14365,12208,11839,17669
99,0.030296756383712913,0.812422360248447,0.0,0.0,14628,17034,1057,1435
100,0.11870255348516219,43.70648723257403,0.0,0.0,4337,9804,210,886
101,0.00027605244996549346,0.09116632160110422,0.0,0.0,7838,10246,2837,6283
102,0.00041407867494824016,0.00013802622498274673,0.0,0.0,8224,7129,1833,2683
103,6.901311249137337e-05,0.0,0.0,0.055210489993098695,9078,6862,7256,12978
104,0.000966183574879227,0.0,0.0,12.45638371290545,10940,6786,5827,16589
105,0.0062801932367149765,0.00027605244996549346,0.0,0.0,12025,10082,2591,3548
106,1.1939268461007588,0.005383022774327124,0.0,0.0,14000,8426,2439,5333
107,61.319392684609795,0.011249137336093855,0.0,0.0,14200,8153,1220,2799
108,64.00303657694937,0.04955141476880608,0.0,0.0,17430,13616,2216,3751
109,88.52629399585896,0.016218081435472743,0.0,58.67667356797766,17939,11476,3110,14779
110,70.3227053140093,0.08136645962732926,0.0,0.774120082815735,17659,16526,5633,14023
111,0.0,0.00448585231193927,0.0,71.83740510696995,4952,13952,11229,21398
112,0.001311249137336094,0.0,0.0,3.32270531400966,12458,2668,0,19328
113,0.0008281573498964803,82.07874396135229,0.0,23.12353347135957,10975,20518,0,9370
114,0.0024844720496894415,62.09710144927508,0.0,0.05058661145617668,6113,15252,0,5115
115,0.00013802622498274673,0.008971704623878536,0.0,0.0,7499,8954,0,145
116,6.901311249137337e-05,0.00013802622498274673,0.0,0.0,7933,7713,0,31
117,0.0,0.0,0.0,0.0,5971,7532,0,2152
118,0.0,0.0,0.0,0.0,5329,5351,0,1137
119,0.0,0.0,0.0,0.0,5615,4880,0,6256
120,0.0,0.0,0.0,0.00013802622498274673,6442,3950,0,7960
121,0.0,0.0,0.0,0.0,4642,5195,0,1050
122,0.0,0.0,0.0,0.0,4965,3456,0,1366
123,0.00020703933747412008,0.0,0.0,0.0,7191,4895,0,231
124,2.096480331262939,0.0,0.0,0.0,10458,6503,0,312
125,6.901311249137337e-05,0.01608005521048999,0.0,0.0,9720,11454,0,5489
126,0.0,0.0,0.0,0.0,6833,6634,0,5266
127,0.00041407867494824016,0.0,0.0,0.0,11546,3372,0,7446
