ppms,avg_e2e,avg_pd,avg_qd,avg_rd,arrived_pkt,dropped_pkt,drop_rate,n_packet
512,64.09,59.24,4.85,0.0,28624,0,0.0,28624
512,64.07,59.32,4.76,0.0,28578,0,0.0,28578
512,63.77,59.06,4.71,0.0,28903,0,0.0,28903
512,63.94,59.29,4.65,0.0,28693,0,0.0,28693
512,63.71,58.91,4.8,0.0,28780,0,0.0,28780
512,63.81,59.03,4.78,0.0,28726,0,0.0,28726
512,63.86,59.14,4.72,0.0,28850,0,0.0,28850
512,55.02,52.33,2.69,0.0,29410,0,0.0,29410
512,54.95,52.4,2.54,0.0,29310,0,0.0,29310
512,54.99,52.37,2.62,0.0,29351,0,0.0,29351
512,54.75,52.2,2.54,0.0,29489,0,0.0,29489
512,54.89,52.17,2.72,0.0,29408,0,0.0,29408
512,55.13,52.59,2.53,0.0,29864,0,0.0,29864
512,55.25,52.64,2.61,0.0,29871,0,0.0,29871
512,55.2,52.54,2.66,0.0,29790,0,0.0,29790
512,55.22,52.61,2.61,0.0,29720,0,0.0,29720
512,55.32,52.67,2.65,0.0,29832,0,0.0,29832
512,55.18,52.39,2.79,0.0,29623,0,0.0,29623
512,92.81,77.83,14.98,0.0,51200,0,0.0,51200
512,92.97,78.13,14.84,0.0,51200,0,0.0,51200
512,93.2,78.34,14.86,0.0,51200,0,0.0,51200
512,93.82,77.93,15.89,0.0,51200,0,0.0,51200
512,93.67,78.36,15.31,0.0,51200,0,0.0,51200
512,93.56,77.86,15.71,0.0,51200,0,0.0,51200
512,93.61,78.16,15.45,0.0,51200,0,0.0,51200
512,93.21,78.19,15.02,0.0,51200,0,0.0,51200
512,92.49,77.88,14.61,0.0,51200,0,0.0,51200
512,92.58,77.8,14.79,0.0,51200,0,0.0,51200
512,92.93,78.17,14.75,0.0,51200,0,0.0,51200
512,93.09,78.0,15.1,0.0,51200,0,0.0,51200
512,93.01,77.73,15.28,0.0,51200,0,0.0,51200
512,93.19,78.17,15.03,0.0,51200,0,0.0,51200
512,93.53,77.93,15.59,0.0,51200,0,0.0,51200
512,92.92,77.99,14.93,0.0,51200,0,0.0,51200
512,93.36,78.08,15.28,0.0,51200,0,0.0,51200
512,93.49,78.15,15.34,0.0,51200,0,0.0,51200
512,92.83,77.93,14.91,0.0,51200,0,0.0,51200
